Operateur;X;Y;2G;3G;4G;postcode
20801;154519.0;6800979.0;1;1;1;29100
20801;154680.0;6833853.0;1;1;1;29470
20820;155170.0;6802286.0;0;1;0;29100
20810;155239.0;6817271.0;1;1;0;29560
20820;155240.0;6817286.0;1;1;1;29560
20815;155240.0;6817286.0;0;1;1;29560
20801;155245.0;6817274.0;1;1;1;29560
20820;155247.0;6802051.0;1;1;1;29100
20810;155349.0;6802775.0;1;1;0;29100
20801;155350.0;6802771.0;1;1;1;29100
20815;155358.0;6787625.0;0;1;0;29710
20810;155367.0;6787605.0;1;1;1;29710
20801;155400.0;6801480.0;0;1;0;29100
20810;155458.0;6834857.0;1;1;1;29470
20801;155462.0;6834871.0;1;0;0;29470
20820;155464.0;6834857.0;1;1;0;29470
20820;155483.0;6769022.0;1;1;1;29730
20810;155486.0;6769021.0;1;1;1;29730
20801;155486.0;6769024.0;0;1;0;29730
20810;155861.0;6833195.0;1;1;1;29470
20820;155868.0;6833207.0;1;1;1;29470
20815;155875.0;6833198.0;0;1;1;29470
20820;155961.0;6782583.0;1;1;1;29720
20815;155962.0;6782584.0;0;1;1;29720
20810;155966.0;6782583.0;1;1;1;29720
20820;156017.0;6773969.0;1;1;1;29120
20810;156017.0;6773969.0;1;1;1;29120
20820;156065.0;6851087.0;1;1;0;29860
20801;156084.0;6770191.0;1;1;1;29730
20810;156152.0;6775436.0;1;1;0;29120
20801;156173.0;6773231.0;1;1;0;29120
20820;156515.0;6770098.0;1;1;0;29730
20815;156543.0;6770102.0;0;1;1;29730
20801;156651.0;6842872.0;1;1;1;29860
20801;157297.0;6801243.0;1;1;1;29100
20810;157300.0;6801237.0;1;1;0;29100
20820;157325.0;6801230.0;1;1;1;29100
20810;157491.0;6851512.0;1;1;0;29260
20820;157616.0;6780309.0;1;1;1;29720
20815;157616.0;6780309.0;0;1;1;29720
20810;157616.0;6780309.0;1;1;1;29720
20801;157704.0;6782009.0;1;1;0;29720
20810;157850.0;6790389.0;1;1;0;29710
20801;157913.0;6864558.0;1;1;0;29890
20820;157921.0;6864519.0;1;1;1;29890
20810;157951.0;6864521.0;1;1;1;29890
20820;158914.0;6843963.0;1;1;1;29800
20810;159014.0;6841175.0;1;1;0;29800
20820;159024.0;6839619.0;1;1;0;29800
20801;159191.0;6775970.0;0;1;1;29120
20820;159611.0;6855434.0;1;1;1;29260
20801;159617.0;6855425.0;1;1;1;29260
20810;159692.0;6834987.0;1;1;0;29470
20801;159711.0;6834157.0;1;1;1;29470
20810;159782.0;6855222.0;1;0;0;29260
20810;159848.0;6769657.0;1;1;0;29740
20801;159852.0;6769671.0;1;1;0;29740
20801;160226.0;6790903.0;1;1;0;29710
20810;160242.0;6796170.0;1;1;1;29100
20815;160352.0;6856028.0;0;1;1;29260
20801;160353.0;6856032.0;1;1;0;29260
20801;160624.0;6828148.0;1;1;0;29460
20820;160628.0;6828145.0;1;1;0;29460
20815;160629.0;6828146.0;0;1;1;29460
20810;160690.0;6777672.0;1;1;1;29120
20801;160693.0;6777674.0;1;1;1;29120
20820;160705.0;6777708.0;1;1;1;29120
20801;160726.0;6776122.0;1;1;1;29120
20801;160743.0;6854160.0;1;1;0;29260
20820;160785.0;6795341.0;1;1;0;29100
20820;161570.0;6850923.0;1;1;0;29260
20810;161610.0;6850903.0;1;1;0;29260
20815;161623.0;6850861.0;0;1;1;29260
20801;161632.0;6850861.0;1;1;0;29260
20820;161933.0;6832674.0;1;1;1;29460
20820;162273.0;6772659.0;1;1;1;29750
20810;162281.0;6772653.0;1;1;1;29750
20801;162487.0;6770074.0;0;1;0;29750
20810;162648.0;6794667.0;1;1;0;29180
20810;162772.0;6841750.0;1;1;0;29800
20810;163117.0;6858470.0;1;1;0;29260
20815;163190.0;6858456.0;0;1;0;29260
20801;163468.0;6840776.0;1;1;0;29800
20820;163595.0;6842726.0;1;1;0;29800
20801;163702.0;6805577.0;1;1;1;29550
20801;163703.0;6843054.0;1;1;0;29800
20820;163709.0;6805590.0;1;1;1;29550
20815;163710.0;6805590.0;0;1;1;29550
20820;163742.0;6796442.0;1;1;0;29180
20810;163814.0;6842341.0;1;1;1;29800
20815;163836.0;6842325.0;0;1;1;29800
20815;163982.0;6831586.0;0;1;1;29460
20810;164011.0;6831715.0;1;1;0;29460
20801;164037.0;6831762.0;1;1;1;29460
20815;164103.0;6771701.0;0;1;1;29750
20820;164137.0;6771745.0;1;1;1;29750
20801;164139.0;6771740.0;1;1;1;29750
20810;164264.0;6844971.0;1;1;1;29800
20801;164267.0;6844984.0;1;0;0;29800
20820;164267.0;6844986.0;1;1;1;29800
20815;164267.0;6844986.0;0;1;0;29800
20810;165070.0;6777851.0;1;1;1;29120
20801;165095.0;6777818.0;1;1;1;29120
20815;165096.0;6777813.0;0;1;1;29120
20820;165101.0;6777825.0;1;1;1;29120
20820;165139.0;6827759.0;1;0;0;29460
20810;165159.0;6827730.0;1;1;1;29460
20810;165513.0;6839045.0;1;0;0;29800
20820;165631.0;6840486.0;1;1;0;29800
20815;165637.0;6840486.0;0;1;0;29800
20801;165639.0;6840489.0;1;1;1;29800
20801;165862.0;6786376.0;1;1;0;29700
20801;165992.0;6798322.0;1;1;0;29180
20801;166030.0;6826292.0;1;1;0;29460
20801;167095.0;6784447.0;1;1;0;29700
20820;167109.0;6825075.0;1;1;0;29460
20815;167167.0;6825069.0;0;1;1;29460
20815;167471.0;6776976.0;0;1;1;29120
20801;167472.0;6776980.0;1;1;1;29120
20820;167519.0;6787028.0;1;1;1;29700
20815;167519.0;6787028.0;0;1;1;29700
20810;167553.0;6787027.0;1;1;1;29700
20801;168415.0;6787585.0;1;1;0;29000
20815;168631.0;6859865.0;0;1;0;29430
20801;168632.0;6859869.0;1;1;1;29430
20820;168674.0;6790255.0;1;1;1;29000
20810;168679.0;6790256.0;1;1;1;29000
20815;168684.0;6790247.0;0;1;0;29000
20801;168686.0;6790251.0;1;1;1;29000
20820;168713.0;6815146.0;1;1;0;29150
20820;168878.0;6788866.0;1;1;1;29000
20810;168878.0;6788866.0;1;1;1;29000
20801;169026.0;6793681.0;1;1;0;29000
20801;169141.0;6789018.0;1;1;1;29000
20810;169265.0;6776941.0;1;1;1;29950
20820;169268.0;6776941.0;1;1;1;29950
20801;169270.0;6776946.0;1;1;1;29950
20801;169522.0;6811311.0;0;1;0;29150
20820;169647.0;6803844.0;1;1;1;29180
20810;169647.0;6803844.0;1;1;1;29180
20815;169648.0;6803845.0;0;1;1;29180
20801;169921.0;6789443.0;1;1;1;29000
20820;169990.0;6821085.0;1;1;1;29590
20810;169990.0;6821085.0;1;1;1;29590
20801;170007.0;6821092.0;1;1;0;29590
20810;170095.0;6789845.0;1;0;0;29000
20815;170166.0;6821193.0;0;1;1;29590
20820;170270.0;6859678.0;1;1;1;29430
20810;170273.0;6859684.0;1;1;1;29430
20801;170428.0;6790037.0;1;1;1;29000
20820;170434.0;6790017.0;1;1;1;29000
20801;170507.0;6791344.0;1;1;1;29000
20801;170733.0;6789441.0;1;1;0;29000
20820;170783.0;6788421.0;1;1;1;29000
20810;170796.0;6788400.0;1;1;1;29000
20801;170798.0;6788403.0;1;1;1;29000
20810;170851.0;6789618.0;1;1;1;29000
20820;170852.0;6789624.0;1;1;1;29000
